
# Curve 0 of 1, 100 points
# Curve title: "I(x)"
# x y type
 0.666201  4.55197  i
 0.670855  4.7176  i
 0.67551  4.88618  i
 0.680165  5.05772  i
 0.684819  5.23221  i
 0.689474  5.40966  i
 0.694128  5.59006  i
 0.698783  5.77341  i
 0.703437  5.95972  i
 0.708092  6.14898  i


# Curve 0 of 1, 100 points
# Curve title: "I(x)"
# x y type
 0.329722  0.405315  o
 0.333446  0.366718  o
 0.33717  0.330012  o
 0.340893  0.295197  o
 0.344617  0.262272  o
 0.348341  0.231239  o
 0.352064  0.202096  o
 0.355788  0.174844  o
 0.359511  0.149483  o
 0.363235  0.126013  o
 0.366959  0.104433  o
 0.370682  0.0847449  o
 0.374406  0.0669472  o
 0.37813  0.0510405  o
 0.381853  0.0370245  o
 0.385577  0.0248995  o
 0.389301  0.0146652  o
 0.393024  0.00632185  o
 0.396748 -0.000130681  o
 0.400471 -0.00469236  o
 0.404195 -0.00736318  o
 0.407919 -0.00814315  o
 0.411642 -0.00703227  o
 0.415366 -0.00403055  o
 0.41909  0.000862035  o
 0.422813  0.00764547  o
 0.426537  0.0163197  o
 0.430261  0.0268849  o
 0.433984  0.0393409  o
 0.437708  0.0536877  o
 0.441431  0.0699254  o
 0.445155  0.0880539  o
 0.448879  0.108073  o
 0.452602  0.129984  o
 0.456326  0.153785  o
 0.46005  0.179477  o
 0.463773  0.207059  o
 0.467497  0.236533  o
 0.471221  0.267898  o
 0.474944  0.301153  o
 0.478668  0.336299  o
 0.482391  0.373336  o
 0.486115  0.412264  o
 0.489839  0.453083  o
 0.493562  0.495792  o
 0.497286  0.540393  o
 0.50101  0.586884  o
 0.504733  0.635266  o
 0.508457  0.685539  o
 0.512181  0.737703  o
 0.515904  0.791758  o
 0.519628  0.847703  o
 0.523351  0.90554  o
 0.527075  0.965267  o
 0.530799  1.02689  o
 0.534522  1.09039  o
 0.538246  1.15579  o
 0.54197  1.22308  o
 0.545693  1.29227  o
 0.549417  1.36334  o
 0.553141  1.4363  o
 0.556864  1.51116  i
 0.560588  1.5879  i
 0.564311  1.66654  i
 0.568035  1.74706  i
 0.571759  1.82948  i
 0.575482  1.91379  i
 0.579206  1.99999  i
 0.58293  2.08808  i
 0.586653  2.17806  i
 0.590377  2.26993  i
 0.594101  2.36369  i
 0.597824  2.45935  i
 0.601548  2.55689  i
 0.605271  2.65633  i
 0.608995  2.75765  i
 0.612719  2.86087  i
 0.616442  2.96598  i
 0.620166  3.07298  i
 0.62389  3.18186  i
 0.627613  3.29264  i
 0.631337  3.40532  i
 0.635061  3.51988  i
 0.638784  3.63633  i
 0.642508  3.75467  i
 0.646231  3.87491  i
 0.649955  3.99703  i
 0.653679  4.12105  i
 0.657402  4.24696  i
 0.661126  4.37476  i
 0.66485  4.50444  i
 0.668573  4.63602  i
 0.672297  4.76949  i
 0.676021  4.90486  i
 0.679744  5.04211  i
 0.683468  5.18125  i
 0.687191  5.32228  i
 0.690915  5.46521  i
 0.694639  5.61002  i
 0.698362  5.75673  i


# Curve 0 of 1, 100 points
# Curve title: "I(x)"
# x y type
