0	n	p
0.0242	8.63623145484E-11	2.72611905163E-11
0.0243	8.66436104479E-11	2.73460477540E-11
0.0244	8.69258198868E-11	2.74311686504E-11
0.0245	8.72089458010E-11	2.75165540218E-11
0.0246	8.74929911818E-11	2.76022046886E-11
0.0247	8.77779589744E-11	2.76881214721E-11
0.0248	8.80638521882E-11	2.77743051970E-11
0.0249	8.83506737961E-11	2.78607566900E-11
0.025	8.86384267988E-11	2.79474767819E-11
0.0251	8.89271142243E-11	2.80344663038E-11
0.0252	8.92167390737E-11	2.81217260908E-11
0.0253	8.95073043846E-11	2.82092569809E-11
0.0254	8.97988132042E-11	2.82970598131E-11
0.0255	9.00912685802E-11	2.83851354303E-11
0.0256	9.03846735506E-11	2.84734846777E-11
0.0257	9.06790312284E-11	2.85621084034E-11
0.0258	9.09743446431E-11	2.86510074572E-11
0.0259	9.12706169266E-11	2.87401826916E-11
0.026	9.15678511553E-11	2.88296349637E-11
0.0261	9.18660504433E-11	2.89193651308E-11
0.0262	9.21652179049E-11	2.90093740534E-11
0.0263	9.24653566734E-11	2.90996625963E-11
0.0264	9.27664698918E-11	2.91902316245E-11
0.0265	9.30685607132E-11	2.92810820075E-11
0.0266	9.33716322716E-11	2.93722146170E-11
0.0267	9.36756877680E-11	2.94636303265E-11
0.0268	9.39807303751E-11	2.95553300140E-11
0.0269	9.42867632566E-11	2.96473145584E-11
0.027	9.45937896430E-11	2.97395848423E-11
0.0271	9.49018127369E-11	2.98321417508E-11
0.0272	9.52108357601E-11	2.99249861720E-11
0.0273	9.55208619158E-11	3.00181189958E-11
0.0274	9.58318944940E-11	3.01115411167E-11
0.0275	9.61439367179E-11	3.02052534289E-11
0.0276	9.64569918399E-11	3.02992568332E-11
0.0277	9.67710631612E-11	3.03935522300E-11
0.0278	9.70861539351E-11	3.04881405239E-11
0.0279	9.74022674832E-11	3.05830226220E-11
0.028	9.77194070890E-11	3.06781994353E-11
0.0281	9.80375760848E-11	3.07736718749E-11
0.0282	9.83567777745E-11	3.08694408572E-11
0.0283	9.86770155014E-11	3.09655073016E-11
0.0284	9.89982926386E-11	3.10618721271E-11
0.0285	9.93206125114E-11	3.11585362602E-11
0.0286	9.96439784843E-11	3.12555006259E-11
0.0287	9.99683939814E-11	3.13527661551E-11
0.0288	1.00293862329E-10	3.14503337806E-11
0.0289	1.00620386994E-10	3.15482044367E-11
0.029	1.00947971331E-10	3.16463790630E-11
0.0291	1.01276618799E-10	3.17448586007E-11
0.0292	1.01606332814E-10	3.18436439930E-11
0.0293	1.01937116826E-10	3.19427361889E-11
0.0294	1.02268974303E-10	3.20421361365E-11
0.0295	1.02601908686E-10	3.21418447897E-11
0.0296	1.02935923475E-10	3.22418631046E-11
0.0297	1.03271022160E-10	3.23421920399E-11
0.0298	1.03607208215E-10	3.24428325569E-11
0.0299	1.03944485182E-10	3.25437856212E-11
0.03	1.04282856564E-10	3.26450521997E-11
0.0301	1.04622325898E-10	3.27466332640E-11
0.0302	1.04962896748E-10	3.28485297877E-11
0.0303	1.05304572652E-10	3.29507427464E-11
0.0304	1.05647357176E-10	3.30532731214E-11
0.0305	1.05991253900E-10	3.31561218945E-11
0.0306	1.06336266444E-10	3.32592900519E-11
0.0307	1.06682398369E-10	3.33627785823E-11
0.0308	1.07029653306E-10	3.34665884775E-11
0.0309	1.07378034900E-10	3.35707207325E-11
0.031	1.07727546754E-10	3.36751763457E-11
0.0311	1.08078192536E-10	3.37799563171E-11
0.0312	1.08429975911E-10	3.38850616521E-11
0.0313	1.08782900549E-10	3.39904933577E-11
0.0314	1.09136970120E-10	3.40962524435E-11
0.0315	1.09492188334E-10	3.42023399233E-11
0.0316	1.09848558885E-10	3.43087568146E-11
0.0317	1.10206085528E-10	3.44155041359E-11
0.0318	1.10564771936E-10	3.45225829105E-11
0.0319	1.10924621910E-10	3.46299941649E-11
0.032	1.11285639177E-10	3.47377389276E-11
0.0321	1.11647827507E-10	3.48458182317E-11
0.0322	1.12011190674E-10	3.49542331118E-11
0.0323	1.12375732492E-10	3.50629846075E-11
0.0324	1.12741456736E-10	3.51720737604E-11
0.0325	1.13108367243E-10	3.52815016149E-11
0.0326	1.13476467834E-10	3.53912692210E-11
0.0327	1.13845762350E-10	3.55013776292E-11
0.0328	1.14216254643E-10	3.56118278939E-11
0.0329	1.14587948579E-10	3.57226210743E-11
0.033	1.14960848046E-10	3.58337582314E-11
0.0331	1.15334956912E-10	3.59452404290E-11
0.0332	1.15710279088E-10	3.60570687363E-11
0.0333	1.16086818499E-10	3.61692442237E-11
0.0334	1.16464579069E-10	3.62817679650E-11
0.0335	1.16843564736E-10	3.63946410400E-11
0.0336	1.17223779440E-10	3.65078645277E-11
0.0337	1.17605227174E-10	3.66214395141E-11
0.0338	1.17987911879E-10	3.67353670853E-11
0.0339	1.18371837587E-10	3.68496483348E-11
0.034	1.18757008262E-10	3.69642843545E-11
0.0341	1.19143427960E-10	3.70792762443E-11
0.0342	1.19531100672E-10	3.71946251042E-11
0.0343	1.19920030476E-10	3.73103320399E-11
0.0344	1.20310221390E-10	3.74263981582E-11
0.0345	1.20701677517E-10	3.75428245711E-11
0.0346	1.21094402909E-10	3.76596123940E-11
0.0347	1.21488401675E-10	3.77767627446E-11
0.0348	1.21883677935E-10	3.78942767445E-11
0.0349	1.22280235767E-10	3.80121555198E-11
0.035	1.22678079363E-10	3.81304001984E-11
0.0351	1.23077212814E-10	3.82490119118E-11
0.0352	1.23477640326E-10	3.83679917979E-11
0.0353	1.23879366030E-10	3.84873409930E-11
0.0354	1.24282394154E-10	3.86070606417E-11
0.0355	1.24686728865E-10	3.87271518898E-11
0.0356	1.25092374389E-10	3.88476158864E-11
0.0357	1.25499334960E-10	3.89684537853E-11
0.0358	1.25907614806E-10	3.90896667425E-11
0.0359	1.26317218191E-10	3.92112559199E-11
0.036	1.26728149379E-10	3.93332224793E-11
0.0361	1.27140412648E-10	3.94555675901E-11
0.0362	1.27554012301E-10	3.95782924217E-11
0.0363	1.27968952631E-10	3.97013981507E-11
0.0364	1.28385237989E-10	3.98248859536E-11
0.0365	1.28802872674E-10	3.99487570135E-11
0.0366	1.29221861074E-10	4.00730125148E-11
0.0367	1.29642207525E-10	4.01976536483E-11
0.0368	1.30063916421E-10	4.03226816060E-11
0.0369	1.30486992137E-10	4.04480975844E-11
0.037	1.30911439103E-10	4.05739027830E-11
0.0371	1.31337261722E-10	4.07000984080E-11
0.0372	1.31764464431E-10	4.08266856646E-11
0.0373	1.32193051690E-10	4.09536657655E-11
0.0374	1.32623027932E-10	4.10810399252E-11
0.0375	1.33054397669E-10	4.12088093632E-11
0.0376	1.33487165381E-10	4.13369753015E-11
0.0377	1.33921335564E-10	4.14655389661E-11
0.0378	1.34356912747E-10	4.15945015877E-11
0.0379	1.34793901467E-10	4.17238644006E-11
0.038	1.35232306247E-10	4.18536286418E-11
0.0381	1.35672131696E-10	4.19837955525E-11
0.0382	1.36113382354E-10	4.21143663786E-11
0.0383	1.36556062837E-10	4.22453423696E-11
0.0384	1.37000177724E-10	4.23767247773E-11
0.0385	1.37445731680E-10	4.25085148599E-11
0.0386	1.37892729305E-10	4.26407138770E-11
0.0387	1.38341175268E-10	4.27733230935E-11
0.0388	1.38791074230E-10	4.29063437790E-11
0.0389	1.39242430880E-10	4.30397772038E-11
0.039	1.39695249896E-10	4.31736246464E-11
0.0391	1.40149536007E-10	4.33078873852E-11
0.0392	1.40605293931E-10	4.34425667049E-11
0.0393	1.41062528427E-10	4.35776638951E-11
0.0394	1.41521244230E-10	4.37131802456E-11
0.0395	1.41981446118E-10	4.38491170536E-11
0.0396	1.42443138877E-10	4.39854756195E-11
0.0397	1.42906327326E-10	4.41222572465E-11
0.0398	1.43371016249E-10	4.42594632432E-11
0.0399	1.43837210525E-10	4.43970949215E-11
0.04	1.44304914959E-10	4.45351535971E-11
0.0401	1.44774134437E-10	4.46736405915E-11
0.0402	1.45244873827E-10	4.48125572272E-11
0.0403	1.45717138057E-10	4.49519048336E-11
0.0404	1.46190931991E-10	4.50916847425E-11
0.0405	1.46666260588E-10	4.52318982912E-11
0.0406	1.47143128788E-10	4.53725468195E-11
0.0407	1.47621541523E-10	4.55136316722E-11
0.0408	1.48101503796E-10	4.56551541980E-11
0.0409	1.48583020583E-10	4.57971157508E-11
0.041	1.49066096885E-10	4.59395176864E-11
0.0411	1.49550737753E-10	4.60823613682E-11
0.0412	1.50036948195E-10	4.62256481590E-11
0.0413	1.50524733259E-10	4.63693794303E-11
0.0414	1.51014098044E-10	4.65135565559E-11
0.0415	1.51505047615E-10	4.66581809131E-11
0.0416	1.51997587080E-10	4.68032538853E-11
0.0417	1.52491721561E-10	4.69487768585E-11
0.0418	1.52987456182E-10	4.70947512241E-11
0.0419	1.53484796123E-10	4.72411783767E-11
0.042	1.53983746503E-10	4.73880597156E-11
0.0421	1.54484312558E-10	4.75353966454E-11
0.0422	1.54986499451E-10	4.76831905736E-11
0.0423	1.55490312425E-10	4.78314429126E-11
0.0424	1.55995756690E-10	4.79801550799E-11
0.0425	1.56502837518E-10	4.81293284953E-11
0.0426	1.57011560164E-10	4.82789645859E-11
0.0427	1.57521929910E-10	4.84290647796E-11
0.0428	1.58033952079E-10	4.85796305119E-11
0.0429	1.58547631961E-10	4.87306632216E-11
0.043	1.59062974911E-10	4.88821643517E-11
0.0431	1.59579986278E-10	4.90341353491E-11
0.0432	1.60098671413E-10	4.91865776658E-11
0.0433	1.60619035709E-10	4.93394927591E-11
0.0434	1.61141084600E-10	4.94928820886E-11
0.0435	1.61664823463E-10	4.96467471210E-11
0.0436	1.62190257778E-10	4.98010893259E-11
0.0437	1.62717392956E-10	4.99559101769E-11
0.0438	1.63246234496E-10	5.01112111539E-11
0.0439	1.63776787882E-10	5.02669937394E-11
0.044	1.64309058634E-10	5.04232594227E-11
0.0441	1.64843052256E-10	5.05800096949E-11
0.0442	1.65378774304E-10	5.07372460551E-11
0.0443	1.65916230340E-10	5.08949700033E-11
0.0444	1.66455425929E-10	5.10531830472E-11
0.0445	1.66996366693E-10	5.12118866967E-11
0.0446	1.67539058206E-10	5.13710824688E-11
0.0447	1.68083506124E-10	5.15307718829E-11
0.0448	1.68629716108E-10	5.16909564639E-11
0.0449	1.69177693809E-10	5.18516377421E-11
0.045	1.69727444909E-10	5.20128172519E-11
0.0451	1.70278975122E-10	5.21744965320E-11
0.0452	1.70832290178E-10	5.23366771268E-11
0.0453	1.71387395774E-10	5.24993605844E-11
0.0454	1.71944297738E-10	5.26625484579E-11
0.0455	1.72503001777E-10	5.28262423061E-11
0.0456	1.73063513744E-10	5.29904436912E-11
0.0457	1.73625839406E-10	5.31551541818E-11
0.0458	1.74189984626E-10	5.33203753500E-11
0.0459	1.74755955245E-10	5.34861087728E-11
0.046	1.75323757136E-10	5.36523560329E-11
0.0461	1.75893396165E-10	5.38191187167E-11
0.0462	1.76464878278E-10	5.39863984164E-11
0.0463	1.77038209378E-10	5.41541967291E-11
0.0464	1.77613395396E-10	5.43225152566E-11
0.0465	1.78190442310E-10	5.44913556051E-11
0.0466	1.78769356127E-10	5.46607193869E-11
0.0467	1.79350142808E-10	5.48306082171E-11
0.0468	1.79932808386E-10	5.50010237184E-11
0.0469	1.80517358911E-10	5.51719675165E-11
0.047	1.81103800439E-10	5.53434412442E-11
0.0471	1.81692139032E-10	5.55154465361E-11
0.0472	1.82282380821E-10	5.56879850354E-11
0.0473	1.82874531881E-10	5.58610583866E-11
0.0474	1.83468598394E-10	5.60346682441E-11
0.0475	1.84064586470E-10	5.62088162617E-11
0.0476	1.84662502318E-10	5.63835041027E-11
0.0477	1.85262352126E-10	5.65587334339E-11
0.0478	1.85864142100E-10	5.67345059272E-11
0.0479	1.86467878479E-10	5.69108232587E-11
0.048	1.87073567521E-10	5.70876871117E-11
0.0481	1.87681215491E-10	5.72650991741E-11
0.0482	1.88290828698E-10	5.74430611367E-11
0.0483	1.88902413459E-10	5.76215746984E-11
0.0484	1.89515976070E-10	5.78006415623E-11
0.0485	1.90131522938E-10	5.79802634359E-11
0.0486	1.90749060411E-10	5.81604420341E-11
0.0487	1.91368594884E-10	5.83411790733E-11
0.0488	1.91990132784E-10	5.85224762802E-11
0.0489	1.92613680531E-10	5.87043353811E-11
0.049	1.93239244578E-10	5.88867581136E-11
0.0491	1.93866831438E-10	5.90697462156E-11
0.0492	1.94496447565E-10	5.92533014323E-11
0.0493	1.95128099512E-10	5.94374255164E-11
0.0494	1.95761793784E-10	5.96221202206E-11
0.0495	1.96397536976E-10	5.98073873098E-11
0.0496	1.97035335648E-10	5.99932285476E-11
0.0497	1.97675196405E-10	6.01796457078E-11
0.0498	1.98317125863E-10	6.03666405688E-11
0.0499	1.98961130682E-10	6.05542149119E-11
0.05	1.99607217503E-10	6.07423705265E-11
0.0501	2.00255393042E-10	6.09311092065E-11
0.0502	2.00905663995E-10	6.11204327520E-11
0.0503	2.01558037063E-10	6.13103429672E-11
0.0504	2.02212519026E-10	6.15008416632E-11
0.0505	2.02869116667E-10	6.16919306555E-11
0.0506	2.03527836738E-10	6.18836117670E-11
0.0507	2.04188686078E-10	6.20758868243E-11
0.0508	2.04851671522E-10	6.22687576600E-11
0.0509	2.05516799938E-10	6.24622261137E-11
0.051	2.06184078173E-10	6.26562940277E-11
0.0511	2.06853513168E-10	6.28509632538E-11
0.0512	2.07525111826E-10	6.30462356462E-11
0.0513	2.08198881071E-10	6.32421130671E-11
0.0514	2.08874827921E-10	6.34385973827E-11
0.0515	2.09552959316E-10	6.36356904658E-11
0.0516	2.10233282301E-10	6.38333941951E-11
0.0517	2.10915803902E-10	6.40317104533E-11
0.0518	2.11600531150E-10	6.42306411328E-11
0.0519	2.12287471170E-10	6.44301881274E-11
0.052	2.12976631039E-10	6.46303533386E-11
0.0521	2.13668017867E-10	6.48311386750E-11
0.0522	2.14361638816E-10	6.50325460481E-11
0.0523	2.15057501042E-10	6.52345773792E-11
0.0524	2.15755611780E-10	6.54372345915E-11
0.0525	2.16455978184E-10	6.56405196155E-11
0.0526	2.17158607536E-10	6.58444343897E-11
0.0527	2.17863507077E-10	6.60489808556E-11
0.0528	2.18570684089E-10	6.62541609619E-11
0.0529	2.19280145888E-10	6.64599766635E-11
0.053	2.19991899798E-10	6.66664299210E-11
0.0531	2.20705953183E-10	6.68735227011E-11
0.0532	2.21422313397E-10	6.70812569766E-11
0.0533	2.22140987863E-10	6.72896347252E-11
0.0534	2.22861983994E-10	6.74986579329E-11
0.0535	2.23585309245E-10	6.77083285902E-11
0.0536	2.24310971075E-10	6.79186486931E-11
0.0537	2.25038976968E-10	6.81296202468E-11
0.0538	2.25769334490E-10	6.83412452578E-11
0.0539	2.26502051111E-10	6.85535257440E-11
0.054	2.27237134472E-10	6.87664637253E-11
0.0541	2.27974592105E-10	6.89800612293E-11
0.0542	2.28714431654E-10	6.91943202921E-11
0.0543	2.29456660755E-10	6.94092429514E-11
0.0544	2.30201287055E-10	6.96248312542E-11
0.0545	2.30948318252E-10	6.98410872547E-11
0.0546	2.31697762069E-10	7.00580130102E-11
0.0547	2.32449626206E-10	7.02756105864E-11
0.0548	2.33203918450E-10	7.04938820553E-11
0.0549	2.33960646593E-10	7.07128294954E-11
0.055	2.34719818424E-10	7.09324549895E-11
0.0551	2.35481441797E-10	7.11527606300E-11
0.0552	2.36245524535E-10	7.13737485121E-11
0.0553	2.37012074556E-10	7.15954207412E-11
0.0554	2.37781099773E-10	7.18177794270E-11
0.0555	2.38552608080E-10	7.20408266843E-11
0.0556	2.39326607484E-10	7.22645646388E-11
0.0557	2.40103105927E-10	7.24889954174E-11
0.0558	2.40882111463E-10	7.27141211571E-11
0.0559	2.41663632069E-10	7.29399440009E-11
0.056	2.42447675880E-10	7.31664660969E-11
0.0561	2.43234250905E-10	7.33936896018E-11
