v1	Id(Mc2)
3.439999999999996e-002	2.857443e-010
3.449999999999996e-002	2.865058e-010
3.459999999999996e-002	2.872692e-010
3.469999999999997e-002	2.880347e-010
3.479999999999997e-002	2.888022e-010
3.489999999999997e-002	2.895717e-010
3.499999999999998e-002	2.903432e-010
3.509999999999998e-002	2.911169e-010
3.519999999999998e-002	2.918925e-010
3.529999999999998e-002	2.926702e-010
3.539999999999999e-002	2.934499e-010
3.549999999999999e-002	2.942318e-010
3.559999999999999e-002	2.950156e-010
3.570000000000000e-002	2.958016e-010
3.580000000000000e-002	2.965896e-010
3.590000000000000e-002	2.973797e-010
3.600000000000000e-002	2.981719e-010
3.610000000000001e-002	2.989662e-010
3.620000000000001e-002	2.997626e-010
3.630000000000001e-002	3.005611e-010
3.640000000000002e-002	3.013617e-010
3.650000000000002e-002	3.021645e-010
3.660000000000002e-002	3.029693e-010
3.670000000000002e-002	3.037763e-010
3.680000000000003e-002	3.045854e-010
3.690000000000003e-002	3.053967e-010
3.700000000000003e-002	3.062101e-010
3.710000000000004e-002	3.070256e-010
3.720000000000004e-002	3.078433e-010
3.730000000000004e-002	3.086632e-010
3.740000000000004e-002	3.094852e-010
3.750000000000005e-002	3.103094e-010
3.760000000000005e-002	3.111358e-010
3.770000000000005e-002	3.119643e-010
3.780000000000006e-002	3.127951e-010
3.790000000000006e-002	3.136280e-010
3.800000000000006e-002	3.144631e-010
3.810000000000006e-002	3.153005e-010
3.820000000000007e-002	3.161401e-010
3.830000000000007e-002	3.169819e-010
3.840000000000007e-002	3.178258e-010
3.850000000000008e-002	3.186721e-010
3.860000000000008e-002	3.195205e-010
3.870000000000008e-002	3.203713e-010
3.880000000000008e-002	3.212242e-010
3.890000000000009e-002	3.220794e-010
3.900000000000009e-002	3.229369e-010
