v1	Id(M)
3.219999999999990e-002	4.608647e-010
3.229999999999990e-002	4.620893e-010
3.239999999999990e-002	4.633173e-010
3.249999999999990e-002	4.645484e-010
3.259999999999991e-002	4.657829e-010
3.269999999999991e-002	4.670205e-010
3.279999999999991e-002	4.682614e-010
3.289999999999992e-002	4.695057e-010
3.299999999999992e-002	4.707531e-010
3.309999999999992e-002	4.720039e-010
3.319999999999992e-002	4.732580e-010
3.329999999999993e-002	4.745153e-010
3.339999999999993e-002	4.757760e-010
3.349999999999993e-002	4.770400e-010
3.359999999999994e-002	4.783074e-010
3.369999999999994e-002	4.795781e-010
3.379999999999994e-002	4.808521e-010
3.389999999999994e-002	4.821295e-010
3.399999999999995e-002	4.834103e-010
3.409999999999995e-002	4.846944e-010
3.419999999999995e-002	4.859819e-010
3.429999999999996e-002	4.872728e-010
3.439999999999996e-002	4.885671e-010
3.449999999999996e-002	4.898649e-010
3.459999999999996e-002	4.911660e-010
3.469999999999997e-002	4.924706e-010
3.479999999999997e-002	4.937786e-010
3.489999999999997e-002	4.950901e-010
3.499999999999998e-002	4.964050e-010
3.509999999999998e-002	4.977234e-010
3.519999999999998e-002	4.990452e-010
3.529999999999998e-002	5.003705e-010
3.539999999999999e-002	5.016993e-010
3.549999999999999e-002	5.030317e-010
3.559999999999999e-002	5.043675e-010
3.570000000000000e-002	5.057069e-010
3.580000000000000e-002	5.070497e-010
3.590000000000000e-002	5.083962e-010
3.600000000000000e-002	5.097461e-010
3.610000000000001e-002	5.110996e-010
3.620000000000001e-002	5.124567e-010
3.630000000000001e-002	5.138174e-010
3.640000000000002e-002	5.151816e-010
3.650000000000002e-002	5.165494e-010
3.660000000000002e-002	5.179209e-010
3.670000000000002e-002	5.192959e-010
3.680000000000003e-002	5.206746e-010
3.690000000000003e-002	5.220568e-010
3.700000000000003e-002	5.234428e-010
3.710000000000004e-002	5.248323e-010
3.720000000000004e-002	5.262256e-010
3.730000000000004e-002	5.276225e-010
3.740000000000004e-002	5.290230e-010
3.750000000000005e-002	5.304273e-010
3.760000000000005e-002	5.318353e-010
3.770000000000005e-002	5.332469e-010
3.780000000000006e-002	5.346624e-010
3.790000000000006e-002	5.360815e-010
3.800000000000006e-002	5.375043e-010
3.810000000000006e-002	5.389309e-010
3.820000000000007e-002	5.403612e-010
3.830000000000007e-002	5.417953e-010
3.840000000000007e-002	5.432332e-010
3.850000000000008e-002	5.446749e-010
3.860000000000008e-002	5.461203e-010
3.870000000000008e-002	5.475695e-010
3.880000000000008e-002	5.490226e-010
3.890000000000009e-002	5.504795e-010
3.900000000000009e-002	5.519402e-010
3.910000000000009e-002	5.534048e-010
3.920000000000010e-002	5.548732e-010
3.930000000000010e-002	5.563455e-010
3.940000000000010e-002	5.578216e-010
3.950000000000010e-002	5.593017e-010
3.960000000000011e-002	5.607856e-010
3.970000000000011e-002	5.622735e-010
3.980000000000011e-002	5.637651e-010
3.990000000000012e-002	5.652608e-010
4.000000000000012e-002	5.667604e-010
4.010000000000012e-002	5.682639e-010
4.020000000000013e-002	5.697715e-010
4.030000000000013e-002	5.712829e-010
4.040000000000013e-002	5.727983e-010
4.050000000000013e-002	5.743177e-010
4.060000000000014e-002	5.758412e-010
4.070000000000014e-002	5.773685e-010
4.080000000000014e-002	5.789000e-010
4.090000000000015e-002	5.804354e-010
4.100000000000015e-002	5.819749e-010
4.110000000000015e-002	5.835184e-010
